attendance_id,employee_id,employee_name,gender,department,designation,employment_type,office_location,date_of_joining,attendance_date,shift_type,attendance_status,work_mode,login_timestamp,logout_timestamp,total_hours_worked,break_duration_mins,net_productive_hours,late_arrival_mins,early_exit_mins,overtime_hours,leave_type,login_date,login_time,logout_date,logout_time,recalculated_gross_hours,recalculated_net_productive_hours
1,1000,Arjun Verma,Male,Engineering,Software Engineer Intern,Intern,Koramangala Hq,2025-06-26,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:42:03,2026-01-02 18:34:12,8.87,86,7.44,12,0,0.0,Not Applicable,2026-01-02,09:42:03,2026-01-02,18:34:12,8.869166666666667,7.435833333333333
2,1001,Rekha Chatterjee,Female,Operations,Operations Manager,Full-Time,Koramangala Hq,2024-02-16,2026-01-02,General (09:30-18:30),Present,Work From Home,2026-01-02 09:09:11,2026-01-02 18:25:11,9.27,67,8.15,0,6,0.0,Not Applicable,2026-01-02,09:09:11,2026-01-02,18:25:11,9.266666666666667,8.15
3,1002,Tanmay Bhardwaj,Male,Operations,Operations Analyst,Full-Time,Whitefield Tech Park,2020-10-13,2026-01-02,General (09:30-18:30),Present,Work From Home,2026-01-02 09:45:59,2026-01-02 20:17:31,10.53,57,9.58,15,0,0.58,Not Applicable,2026-01-02,09:45:59,2026-01-02,20:17:31,10.525555555555556,9.575555555555557
4,1003,Aditya Bose,Female,Customer Success,Customer Success Executive,Full-Time,Koramangala Hq,2022-01-10,2026-01-02,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-02 13:49:26,2026-01-02 22:24:51,8.59,76,7.32,0,36,0.0,Not Applicable,2026-01-02,13:49:26,2026-01-02,22:24:51,8.590277777777779,7.323611111111112
5,1004,Uday Acharya,Male,Human Resources,Talent Acquisition Partner,Full-Time,Electronic City Campus,2024-09-09,2026-01-02,Flexible (10:30-19:30),Present,Work From Office,2026-01-02 10:51:02,2026-01-02 20:33:39,9.71,61,8.69,20,0,0.0,Not Applicable,2026-01-02,10:51:02,2026-01-02,20:33:39,9.710277777777778,8.69361111111111
6,1005,Ankit Kamath,Male,Marketing,Content Strategist,Full-Time,Koramangala Hq,2024-12-15,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:32:03,2026-01-02 18:50:10,9.3,94,7.73,1,0,0.0,Not Applicable,2026-01-02,09:32:03,2026-01-02,18:50:10,9.301944444444445,7.735277777777778
7,1006,Saurabh Pillai,Female,Engineering,Software Engineer,Full-Time,Koramangala Hq,2023-12-18,2026-01-02,Flexible (10:30-19:30),Present,Work From Office,2026-01-02 10:36:59,2026-01-02 20:26:09,9.82,85,8.4,7,0,0.0,Not Applicable,2026-01-02,10:36:59,2026-01-02,20:26:09,9.819444444444445,8.402777777777779
8,1007,Deepika Subramanian,Female,Customer Success,Support Associate,Full-Time,Indiranagar Annexe,2022-08-24,2026-01-02,Late/Us Overlap (14:00-23:00),Present,Client Site,2026-01-02 14:23:51,2026-01-02 23:58:10,9.57,54,8.67,24,0,0.0,Not Applicable,2026-01-02,14:23:51,2026-01-02,23:58:10,9.571944444444444,8.671944444444444
9,1008,Vijay Nair,Female,Finance,Finance Controller,Full-Time,Electronic City Campus,2023-04-02,2026-01-02,General (09:30-18:30),Half Day,Work From Home,2026-01-02 09:47:32,2026-01-02 12:35:31,2.8,23,2.42,17,0,0.0,Not Applicable,2026-01-02,09:47:32,2026-01-02,12:35:31,2.799722222222222,2.4163888888888887
10,1009,Tejas Krishnan,Male,Customer Success,Support Associate,Full-Time,Whitefield Tech Park,2023-03-12,2026-01-02,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-02 14:11:05,2026-01-02 22:08:50,7.96,46,7.19,11,52,0.0,Not Applicable,2026-01-02,14:11:05,2026-01-02,22:08:50,7.9625,7.195833333333334
11,1010,Aditya Mathew,Male,Engineering,Staff Engineer,Full-Time,Hsr Layout Hub,2023-10-21,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:38:07,2026-01-02 17:34:15,7.94,57,6.99,8,56,0.0,Not Applicable,2026-01-02,09:38:07,2026-01-02,17:34:15,7.935555555555555,6.985555555555555
12,1011,Sagar Joseph,Male,Operations,Operations Manager,Full-Time,Indiranagar Annexe,2023-07-17,2026-01-02,Early (08:00-17:00),Present,Work From Office,2026-01-02 08:17:35,2026-01-02 18:18:42,10.02,108,8.22,17,0,0.0,Not Applicable,2026-01-02,08:17:35,2026-01-02,18:18:42,10.018611111111111,8.21861111111111
13,1012,Pallavi Kulkarni,Female,Finance,Finance Executive,Full-Time,Whitefield Tech Park,2025-08-20,2026-01-02,General (09:30-18:30),Present,Work From Home,2026-01-02 09:25:47,2026-01-02 17:53:17,8.46,63,7.41,0,37,0.0,Not Applicable,2026-01-02,09:25:47,2026-01-02,17:53:17,8.458333333333334,7.408333333333334
14,1013,Deepika Srivastava,Female,Engineering,Engineering Manager,Full-Time,Koramangala Hq,2025-06-12,2026-01-02,Mid (11:00-20:00),Present,Work From Office,2026-01-02 10:37:40,2026-01-02 20:43:00,10.09,40,9.42,0,0,0.42,Not Applicable,2026-01-02,10:37:40,2026-01-02,20:43:00,10.088888888888889,9.422222222222222
15,1014,Vishnu Chopra,Female,Engineering,Software Engineer,Full-Time,Indiranagar Annexe,2020-05-30,2026-01-02,Mid (11:00-20:00),Present,Work From Home,2026-01-02 10:50:03,2026-01-02 21:39:22,10.82,24,10.42,0,0,1.42,Not Applicable,2026-01-02,10:50:03,2026-01-02,21:39:22,10.821944444444444,10.421944444444444
16,1015,Rekha Mohanty,Male,Engineering,Software Engineer,Full-Time,Koramangala Hq,2022-06-18,2026-01-02,Late/Us Overlap (14:00-23:00),On Leave,Not Applicable,,,0.0,0,0.0,0,0,0.0,Loss Of Pay,,,,,0.0,0.0
17,1016,Nikita Kumar,Male,Engineering,Software Engineer Intern,Intern,Indiranagar Annexe,2025-07-26,2026-01-02,Flexible (10:30-19:30),Present,Work From Office,2026-01-02 10:40:29,2026-01-02 20:09:12,9.48,83,8.1,10,0,0.0,Not Applicable,2026-01-02,10:40:29,2026-01-02,20:09:12,9.47861111111111,8.095277777777778
18,1017,Sahana Hegde,Female,Operations,Operations Manager,Full-Time,Koramangala Hq,2023-02-19,2026-01-02,Early (08:00-17:00),Present,Work From Office,2026-01-02 08:03:22,2026-01-02 16:55:19,8.87,62,7.84,2,6,0.0,Not Applicable,2026-01-02,08:03:22,2026-01-02,16:55:19,8.865833333333333,7.8325
19,1018,Shivani Dsouza,Female,Sales,Vp Sales,Full-Time,Koramangala Hq,2020-09-18,2026-01-02,Late/Us Overlap (14:00-23:00),On Leave,Not Applicable,,,0.0,0,0.0,0,0,0.0,Loss Of Pay,,,,,0.0,0.0
20,1019,Neha Kamath,Male,Customer Success,Head Of Customer Success,Full-Time,Indiranagar Annexe,2022-12-16,2026-01-02,General (09:30-18:30),Present,Client Site,2026-01-02 09:24:49,2026-01-02 19:13:11,9.81,22,9.44,0,0,0.44,Not Applicable,2026-01-02,09:24:49,2026-01-02,19:13:11,9.806111111111111,9.439444444444444
21,1020,Hemant Chandran,Female,Engineering,Associate Software Engineer,Full-Time,Indiranagar Annexe,2023-08-09,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 10:07:37,2026-01-02 19:26:12,9.31,88,7.84,37,0,0.0,Not Applicable,2026-01-02,10:07:37,2026-01-02,19:26:12,9.309722222222222,7.843055555555555
22,1021,Rohan Roy,Male,Engineering,Associate Software Engineer,Full-Time,Whitefield Tech Park,2025-10-19,2026-01-02,Late/Us Overlap (14:00-23:00),Present,Work From Office,2026-01-02 14:18:22,2026-01-03 01:04:56,10.78,88,9.31,18,0,0.31,Not Applicable,2026-01-02,14:18:22,2026-01-03,01:04:56,10.776111111111112,9.309444444444445
23,1022,Jatin Bhat,Female,Customer Success,Customer Success Executive,Full-Time,Hsr Layout Hub,2025-08-20,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:45:57,2026-01-02 19:45:25,9.99,55,9.07,15,0,0.07,Not Applicable,2026-01-02,09:45:57,2026-01-02,19:45:25,9.991111111111111,9.074444444444445
24,1023,Akash Kadam,Female,Product Management,Product Manager,Full-Time,Koramangala Hq,2020-07-02,2026-01-02,General (09:30-18:30),On Leave,Not Applicable,,,0.0,0,0.0,0,0,0.0,Sick Leave,,,,,0.0,0.0
25,1024,Anusha Acharya,Male,Sales,Regional Sales Manager,Full-Time,Indiranagar Annexe,2023-12-11,2026-01-02,General (09:30-18:30),Present,Work From Office,2026-01-02 09:09:04,2026-01-02 20:20:17,11.19,48,10.39,0,0,1.39,Not Applicable,2026-01-02,09:09:04,2026-01-02,20:20:17,11.186944444444444,10.386944444444444
26,1025,Ananya Agarwal,Male,Finance,Finance Controller,Part-Time,Whitefield Tech Park,2021-04-27,2026-01-02,Early (08:00-17:00),Present,Work From Office,2026-01-02 07:43:07,2026-01-02 12:53:50,5.18,64,4.11,0,247,0.0,Not Applicable,2026-01-02,07:43:07,2026-01-02,12:53:50,5.1786111111111115,4.111944444444445
